pit_stop_id,race_id,driver_id,constructor_id,lap,stop_number,duration_ms
302,844,809,4,41,3,21739
303,844,5,203,41,3,23068
304,844,3,130,42,3,20395
305,844,67,5,42,3,20819
306,844,15,203,43,3,23001
307,844,155,15,44,3,20500
308,844,17,9,47,4,19984
309,844,20,9,48,4,20292
310,844,815,15,47,3,21829
311,844,18,1,48,3,20107
312,844,1,1,49,4,20988
313,844,16,10,48,3,23230
314,844,39,163,47,3,24298
315,844,2,4,50,3,20796
316,844,153,5,50,4,23143
317,844,816,165,49,3,21708
318,844,814,10,51,3,20573
319,844,813,3,53,4,22077
320,844,10,165,53,3,21170
321,844,22,3,54,4,20637
322,845,30,130,12,1,35084
323,845,18,1,15,1,25280
324,845,3,130,15,1,25189
325,845,20,9,16,1,28536
326,845,17,9,16,1,37735
327,845,4,6,17,1,25352
328,845,5,203,19,1,26477
329,845,814,10,20,1,24970
330,845,1,1,22,1,31445
331,845,10,165,22,1,26827
332,845,15,203,24,1,25595
333,845,813,3,25,1,26468
334,845,13,6,26,1,26615
335,845,39,163,25,1,28325
336,845,814,10,27,2,19360
337,845,809,4,28,1,28856
338,845,153,5,29,1,25907
339,845,22,3,32,1,25921
340,845,18,1,33,2,26421
341,845,814,10,32,3,47226
342,845,2,4,33,1,25851
343,845,67,5,33,1,26073
344,845,4,6,34,2,31382
345,845,3,130,33,2,25310
346,845,24,163,32,1,28298
347,845,816,165,33,1,27577
348,845,155,15,34,1,28642
349,845,16,10,34,1,25037
350,845,39,163,33,2,39917
351,845,1,1,43,2,19347
352,845,15,203,46,2,26065
353,845,18,1,48,3,24670
354,845,1,1,49,3,26977
355,845,5,203,52,2,25878
356,845,3,130,53,3,25116
357,845,813,3,54,2,25687
358,845,17,9,55,2,26269
359,845,153,5,56,2,27550
360,845,67,5,62,2,25045
361,845,816,165,63,2,26464
362,845,16,10,68,2,27879
363,845,22,3,68,2,25675
364,845,2,4,69,2,26281
365,846,18,1,8,1,23650
366,846,24,163,9,1,27202
367,846,18,1,13,2,14501
368,846,22,3,15,1,23305
369,846,16,10,16,1,24052
370,846,4,6,17,1,23893
371,846,3,130,17,1,23105
372,846,813,3,17,1,23571
373,846,67,5,17,1,23949
374,846,816,165,17,1,24143
375,846,30,130,18,1,24472
376,846,4,6,19,2,26348
377,846,18,1,19,3,23868
378,846,3,130,19,2,22986
379,846,153,5,19,1,26045
380,846,22,3,19,2,25066
381,846,5,203,19,1,44037
382,846,15,203,19,1,51684
383,846,813,3,19,2,24943
384,846,20,9,20,1,23872
385,846,17,9,20,1,29546
386,846,67,5,20,2,24649
387,846,13,6,21,1,24886
388,846,30,130,21,2,24196
389,846,816,165,23,2,30497
390,846,816,165,33,3,24655
391,846,30,130,34,3,22832
392,846,16,10,34,2,22923
393,846,10,165,34,1,24425
394,846,22,3,34,3,24684
395,846,67,5,34,3,23970
396,846,2,4,35,1,23113
397,846,814,10,35,1,22479
398,846,18,1,35,4,23589
399,846,37,15,35,1,30288
400,846,153,5,35,2,24863
401,846,813,3,35,3,23593
402,846,24,163,35,2,34897
403,846,155,15,36,1,23687
404,846,13,6,36,2,22742
405,846,809,4,36,1,23816
406,846,17,9,36,2,22402
407,846,4,6,36,3,26129
408,846,3,130,36,3,22735
409,846,15,203,36,2,23332
410,846,816,165,36,4,14538
411,846,20,9,37,2,22958
412,846,39,163,37,1,29115
413,846,18,1,37,5,31718
414,846,814,10,43,2,28630
415,846,16,10,45,3,14565
416,846,16,10,49,4,32449
417,846,17,9,50,3,22770
418,846,22,3,50,4,23059
419,846,67,5,50,4,26561
420,846,814,10,50,3,14538
421,846,18,1,51,6,23741
422,846,153,5,51,3,23338
423,846,813,3,51,4,23700
424,846,10,165,51,2,25079
425,846,39,163,51,2,29540
426,846,30,130,52,4,22869
427,846,13,6,52,3,22560
428,846,2,4,52,2,23364
429,846,37,15,52,2,24039
430,846,15,203,52,3,25140
431,846,816,165,52,5,30714
432,846,20,9,53,3,22526
433,846,24,163,52,3,33278
434,846,155,15,53,2,24618
435,846,809,4,53,2,24145
436,846,3,130,53,4,22702
437,846,13,6,53,4,28346
438,846,814,10,53,4,23129
439,846,813,3,61,5,31701
440,847,813,3,10,1,21301
441,847,2,4,11,1,22114
442,847,22,3,11,1,21163
443,847,155,15,11,1,23492
444,847,1,1,12,1,20340
445,847,3,130,12,1,21054
446,847,16,10,12,1,20676
447,847,17,9,13,1,20465
448,847,20,9,14,1,21006
449,847,4,6,14,1,21477
450,847,18,1,14,1,20997
451,847,30,130,14,1,21201
452,847,814,10,14,1,20567
453,847,67,5,14,1,21321
454,847,5,203,14,1,23241
455,847,39,163,14,1,28030
456,847,13,6,15,1,20718
457,847,809,4,15,1,22104
458,847,30,130,15,2,30665
459,847,24,163,15,1,24459
460,847,10,165,17,1,21900
461,847,15,203,18,1,23327
462,847,816,165,18,1,21943
463,847,153,5,19,1,21391
464,847,1,1,24,2,21035
465,847,815,15,25,1,21939
466,847,67,5,26,2,20460
467,847,5,203,26,2,21126
468,847,2,4,27,2,22285
469,847,814,10,27,2,20818
470,847,809,4,27,2,21168
471,847,17,9,28,2,20319
472,847,16,10,28,2,20286
473,847,22,3,28,2,21262
474,847,813,3,28,2,21805
475,847,4,6,29,2,20551
476,847,24,163,28,2,22766
477,847,20,9,30,2,20441
478,847,18,1,30,2,20325
479,847,3,130,30,2,23547
480,847,39,163,29,2,24675
481,847,13,6,31,2,25537
482,847,30,130,31,3,21168
483,847,155,15,33,2,20545
484,847,15,203,34,2,22131
485,847,816,165,37,2,22250
486,847,809,4,39,3,21105
487,847,2,4,40,3,21472
488,847,22,3,40,3,21286
489,847,17,9,42,3,20367
490,847,1,1,42,3,20212
491,847,153,5,42,2,21103
492,847,5,203,42,3,22632
493,847,16,10,43,3,21036
494,847,10,165,42,2,22030
495,847,814,10,44,3,21069
496,847,4,6,45,3,20136
497,847,24,163,43,3,22235
498,847,813,3,44,3,21490
499,847,3,130,45,3,20896
